GTD ID,DATE,COUNTRY,CITY,PERPETRATOR 1,GUNCERTAIN 1,PERPETRATOR 2,GUNCERTAIN 2,PERPETRATOR 3,GUNCERTAIN 3,FATALITIES,INJURED,TARGET TYPE 1,TARGET TYPE 2,TARGET TYPE 3,REGION,ATTACK TYPE 1,ATTACK TYPE 2,ATTACK TYPE 3,WEAPON TYPE 1,WEAPON TYPE 2,WEAPON TYPE 3,WEAPON TYPE 4
201612280050,2016-12-28,"Kosovo","Mitrovica","Unknown",0,,,,,0,0,Government (General),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201612140051,2016-12-14,"Ukraine","Maiorska","Unknown",0,,,,,1,1,Military,Private Citizens & Property,,Eastern Europe,Armed Assault,,,Explosives/Bombs/Dynamite,Firearms,,
201612040047,2016-12-04,"United States","Washington","Unknown",0,0,0,Business,North America,,,,Armed Assault,Firearms,Firearms
201611280001,2016-11-28,"United States","Columbus","Jihadi-inspired extremists",0,,,,,1,11,Private Citizens & Property,,,North America,Armed Assault,,,Melee,Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs),,
201611150059,2016-11-15,"Ukraine","Marinka","Unknown",0,,,,,0,0,Educational Institution,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201610310037,2016-10-31,"Russia","Moscow","Unknown",0,,,,,0,0,Transportation,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201610130018,2016-10-13,"Russia","Unknown","Caucasus Emirate",0,,,,,3,0,Government (General),Police,Police,Eastern Europe,Armed Assault,,,Firearms,,,
201610010035,2016-10-01,"Russia","Moscow","Anti-Semitic extremists",0,,,,,0,1,Religious Figures/Institutions,Private Citizens & Property,,Eastern Europe,Armed Assault,,,Firearms,Incendiary,,
201609190027,2016-09-19,"Ukraine","Lutsk","Unknown",0,,,,,0,0,Private Citizens & Property,,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201609180001,2016-09-18,"United States","Elizabeth","Jihadi-inspired extremists",0,,,,,0,0,Transportation,,,North America,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
201609170035,2016-09-17,"Ukraine","Kiev","Unknown",0,,,,,0,0,Government (Diplomatic),,,Eastern Europe,Bombing/Explosion,,,Explosives/Bombs/Dynamite,,,
