STATIONS_ID,MESS_DATUM,QN_3,  FX,  FM,QN_4,RSK,RSKF, SDK,SHK_TAG,  NM, VPM,  PM, TMK, UPM, TXK, TNK, TGK,eor
3379,19850101,10,14,4,10,1.2,7,0.1,5,8,4.2,947.7,-2.4,82,-1,-8.5,-8.6,eor
3379,19850102,10,14,3.8,10,4.5,7,0,8,8,4.5,939.1,-4,94,-0.5,-5.6,-3.1,eor
3379,19850103,10,13,3.9,10,1.5,7,0.2,19,7.3,3,944.6,-6.8,83,-5.6,-8.6,-9.4,eor
3379,19850104,10,18,3.5,10,4.3,7,2.9,21,5.7,2.8,940.4,-9.5,88,-6,-13.2,-8,eor
3379,19850105,10,6,2.4,10,1.3,7,0.8,26,8,2.2,944.5,-11.4,86,-10.4,-14.3,-13.7,eor
3379,19850106,10,4.5,1.5,10,0,7,4.9,28,2.7,1.8,946.4,-13.6,77,-9.4,-16.4,-12,eor
3379,19850107,10,3.5,1,10,0,7,1.6,25,2.7,1.2,943.3,-18.7,85,-15.1,-20.2,-22.3,eor
3379,19850108,10,5,1.4,10,0,7,2.1,22,3.7,1.2,948.6,-18.4,85,-17.1,-21,-22.7,eor
3379,19850109,10,6,1.5,10,0,0,6.9,19,2.3,1.4,952,-15.6,76,-11,-18.6,-20.1,eor
3379,19850110,10,4.5,1.1,10,0.3,7,6.7,17,2.7,2.1,954.6,-11,80,-7.2,-18,-21.3,eor
3379,19850111,10,3.3,1,10,0,7,5.2,15,2.3,2.6,960.6,-9.4,85,-6.5,-12.1,-11.9,eor
3379,19850112,10,7,1.9,10,2.6,7,0,15,7,2.5,956.5,-9,84,-6.4,-15.4,-17.4,eor
3379,19850113,10,8,1.8,10,0.1,7,0.3,21,6.7,2.2,955,-11.6,86,-7,-12.3,-9.8,eor
3379,19850114,10,12,2.2,10,0.5,7,0,20,8,2.2,949.9,-11.2,84,-10.3,-13.5,-13.5,eor
3379,19850115,10,6.5,1.3,10,0,0,1.5,21,6.3,2.3,952.9,-10,81,-7.5,-13,-15.4,eor
3379,19850116,10,5.3,1.5,10,0,6,0,20,8,3,954.5,-8.6,93,-7.5,-11.3,-12,eor
3379,19850117,10,2,0.8,10,0,0,0,20,5,3.1,947.3,-6.6,84,-4.4,-10,-9.6,eor
3379,19850118,10,1.8,0.3,10,0,0,4.5,18,3.3,3.2,938.9,-6.6,84,-1.9,-10.2,-11.3,eor
3379,19850119,10,2.5,0.5,10,3.5,7,0,17,8,4.9,941.4,-1.6,91,0,-7.6,-8.5,eor
3379,19850120,10,2.5,0.7,10,0.3,8,0,19,8,5.5,943.4,0,91,0.6,-1.1,-1.3,eor
3379,19850121,10,6,1.3,10,0.5,6,6.1,13,5,6,940.6,2.6,82,7,-1.1,-3,eor
3379,19850122,10,6.5,0.6,10,8.6,6,0,9,7.3,6.9,937.5,4,85,6.4,1,0.5,eor
3379,19850123,10,6,1.6,10,22.6,8,0,8,8,7.8,939.6,4.1,95,5.6,2.3,1,eor
3379,19850124,10,14,2.9,10,2.9,7,1.2,13,4.3,4.9,948.6,-1.8,87,4,-3.1,-0.4,eor
3379,19850125,10,6.5,2.7,10,0,6,0.1,13,5.3,4.1,945.2,-1,73,1,-7.2,-8.9,eor
3379,19850126,10,6.5,1.3,10,1.8,6,0,13,7,5.8,936.2,3.2,76,6.3,-1.8,-999,eor
3379,19850127,10,11,2.6,10,1.1,8,0,10,7.7,4.8,949.3,-0.2,75,3.7,-2.2,1,eor
3379,19850128,10,7.5,2.2,10,0,0,2.7,10,4.3,3.8,951.4,-2.8,78,-1.2,-5.6,-6,eor
3379,19850129,10,4,0.9,10,0,6,6.8,10,3.3,5.6,960.6,1.9,78,7.6,-2.6,-2.4,eor
3379,19850130,10,12.5,3.1,10,5.9,6,0,5,7.7,6.9,961,3.8,85,5.6,-2.2,-4.1,eor
3379,19850131,10,15,3.8,10,19.1,6,4.7,3,7,7.2,957.2,5.4,82,8.8,1.3,-1.2,eor
3379,19850201,10,20,6.5,10,1.3,6,0,0,7.7,8.1,955.7,7.2,81,8.4,3.7,3.8,eor
3379,19850202,10,17,5.3,10,25.5,6,0,0,6.7,8.7,953.5,6.4,91,8,5.2,6.5,eor
3379,19850203,10,14,3.1,10,0.8,6,2.8,0,4.7,5.5,962.4,2,73,6.6,-0.6,5,eor
3379,19850204,10,9,1.1,10,0,0,8.7,0,1,3.3,962.7,0.6,53,4.5,-3,-999,eor
3379,19850205,10,6.5,0.8,10,0,0,8.6,0,0.3,4.8,953.7,2.6,68,9.5,-3.4,-999,eor
3379,19850206,10,10.5,3.2,10,6.3,8,0,0,8,8.1,951.7,6.2,85,7.1,2,1.9,eor
3379,19850207,10,8.9,2.5,10,2,8,0,0,8,5.4,953.3,0.5,82,6.2,-0.6,1.9,eor
3379,19850208,10,9.4,2.4,10,10.8,8,0,0,8,4.4,945.5,-1.6,82,-0.4,-3.6,-4,eor
3379,19850209,10,14.5,2.1,10,25,8,0,0,7.3,8.1,937.6,5.4,92,6.2,-0.8,-1.8,eor
3379,19850210,10,8,2.9,10,1.7,7,0,4,8,2.8,940.9,-8.2,85,6,-8.7,-7,eor
3379,19850211,10,10.3,2.6,10,0,7,7.6,5,2.3,1.9,944,-11.5,76,-8.6,-13.6,-14.9,eor
3379,19850212,10,10.2,3.3,10,0,7,7.2,5,2.3,1.8,945.5,-11.6,74,-8.7,-14.6,-14.8,eor
3379,19850213,10,8.1,2,10,0.8,7,8.6,4,2.3,2.1,944.4,-8.6,69,-5.5,-14.6,-15.1,eor
3379,19850214,10,6.5,1.3,10,8.2,8,0,5,8,5.1,946.4,-1,90,1.8,-7.5,-8.5,eor
3379,19850215,10,7,1.7,10,0,0,2.7,10,3.3,2.5,955.5,-8.4,75,-0.8,-10.2,-6.8,eor
3379,19850216,10,9.4,1.8,10,0,0,8,8,0,2.1,963,-7.8,67,-2,-15.2,-17.5,eor
